Minisector,RUS,ANT,Fastest
0,292.5200368153955,299.143806699581,ANT
1,150.33051330752485,148.27124537975604,RUS
2,226.85801610589337,228.75538204111615,ANT
3,285.0138312459218,276.90279498512075,RUS
4,315.48742190363896,314.54542653792083,RUS
5,285.7783204665387,311.02522947996533,ANT
6,150.92788906907225,152.4855252171709,ANT
7,247.47454482133028,258.8197119154023,ANT
8,114.09377758692229,117.62874284482515,ANT
9,173.10401913700437,163.802874381096,RUS
10,280.2791781198932,280.11421997983786,RUS
11,302.8546423790476,302.4276798133333,RUS
12,218.67502244811521,209.62619120546415,RUS
13,170.48393226279953,176.18588877626874,ANT
14,280.126271596595,279.48002520776015,RUS
15,315.07811753529853,315.67527420500085,ANT
16,327.62371603330695,327.91144302995167,ANT
17,335.95199125621934,336.7408177975309,ANT
18,339.2319930788456,339.08791664,RUS
19,341.3469297964912,339.85149595561074,RUS
20,189.71638937347444,178.47345018796742,RUS
21,181.0436432986325,192.66080434602654,ANT
22,283.59513997025283,284.6459831649524,ANT
23,315.2456213926737,315.1802847215171,RUS
24,325.62593695499305,327.1190183737566,ANT
25,323.0,,RUS
