Minisector,BOT,ALO,Fastest
0,233.14811129540712,230.25682617510978,BOT
1,287.7830582961294,280.915880832,BOT
2,312.97951368888886,293.47743026666666,BOT
3,323.14715985721557,297.6470547667537,BOT
4,286.0751925679951,263.5831563941582,BOT
5,162.37480746918695,163.7467311246697,ALO
6,257.16987106161827,257.3901802622111,ALO
7,273.7011218051282,276.9709876148148,ALO
8,209.9063353361243,213.67790678250935,ALO
9,216.14982584200072,216.90694357979797,ALO
10,183.22111465956422,180.4646032744734,BOT
11,220.08228722537947,220.4595939872876,ALO
12,200.575857560484,199.16576634234235,BOT
13,206.38988901225272,210.3164989840825,ALO
14,214.58442082055524,213.50966721385282,BOT
15,177.69647636327872,181.67279955078513,ALO
16,243.8509656574441,247.17667677536502,ALO
17,283.9018980636908,283.01519021104764,BOT
18,294.21336810158726,293.8067929113204,BOT
19,280.4352561230769,281.54354535970697,ALO
20,129.31229474851867,132.32015645914228,ALO
21,158.3422618560067,156.5374440703773,BOT
22,151.45363387071936,151.1023152254114,BOT
23,202.78417089821886,198.70697442141454,BOT
24,147.90708929478788,146.299364503518,BOT
25,185.96250239999998,,BOT
