Minisector,GAS,ERI,Fastest
0,260.6510051678161,258.2372324917872,GAS
1,135.69468098743334,132.62161459697558,GAS
2,263.759756291047,259.80153111292515,GAS
3,300.7727926031746,298.66025661538464,GAS
4,296.0018890168761,296.2716665721905,ERI
5,304.281333248,301.7631667626667,GAS
6,309.4361109777778,306.41076391111113,GAS
7,310.40758115555553,308.22683332266666,GAS
8,202.35206734182785,207.8866210356498,ERI
9,199.40577570365514,197.44161475995378,GAS
10,181.09011608914403,194.7412424174708,ERI
11,168.95358470763946,158.65972304494392,GAS
12,253.01382869333332,246.7542077031961,GAS
13,276.1936729283951,280.3307098074074,ERI
14,275.0632589525118,278.0490634051676,ERI
15,273.0656886802721,281.26243541446206,ERI
16,185.32314487165766,186.47750316836735,ERI
17,192.454055138569,193.45362211375954,ERI
18,239.8574731657363,238.32886439047618,GAS
19,285.0697618041905,284.7235619867863,GAS
20,304.0642490498317,303.49361869409523,GAS
21,310.78802079999997,309.43066666666664,GAS
22,309.53638095238097,308.72934784927537,GAS
23,252.18028672387507,266.8113570670498,ERI
24,116.59909782142857,113.53058822641823,GAS
25,,224.74999893333336,ERI
