Minisector,RUS,TSU,Fastest
0,298.2225074952657,296.03729911688316,RUS
1,164.16274690398532,152.7535665187779,RUS
2,157.1810052797581,154.70311966230508,RUS
3,228.35152345991986,226.45655723377777,RUS
4,284.22683408618514,283.95560449931435,RUS
5,291.43174546204443,294.20344479758126,TSU
6,147.91269529267083,143.10735909474425,RUS
7,151.2400564457811,140.32968837198243,RUS
8,149.29112784126986,139.43305397671395,RUS
9,182.52237854276973,184.84913222442455,TSU
10,134.29853257347176,129.0527117603198,RUS
11,130.49561856181214,122.55577905139079,RUS
12,168.81248850101326,169.1272944960805,TSU
13,268.8411015613007,267.5648244913131,RUS
14,293.0373253337566,291.38157551650187,RUS
15,145.79520604186425,145.75361707045505,RUS
16,214.34372558181417,205.41561309848305,RUS
17,174.32411800862832,170.71733949150595,RUS
18,271.91600041964483,272.0366921703704,TSU
19,295.2352596368254,294.8077845870501,RUS
20,306.53306934041643,308.5893910407256,TSU
21,313.44976865185185,318.0187338535065,TSU
22,317.4106923768595,320.8274635134503,TSU
23,319.2898597877551,322.97602040816327,TSU
24,319.98530612244895,323.5083010084961,TSU
