Minisector,LEC,RUS,Fastest
0,291.6332176150427,293.6081127447542,RUS
1,161.3407477908598,174.2339425419786,RUS
2,174.74281137824997,164.78625848679883,LEC
3,256.54951360801056,248.7274266548588,LEC
4,289.18492927343794,288.4402577371428,LEC
5,261.502979835393,254.71899568141416,LEC
6,227.6869787860202,219.60284359001,LEC
7,150.75574525918273,150.9190857004058,RUS
8,226.17927692883785,218.82129450365557,LEC
9,279.4448864982857,279.1500864533333,LEC
10,297.86030287515155,301.006916608,RUS
11,307.58107983310657,310.6541896510242,RUS
12,311.5122180330827,315.71755942095234,RUS
13,310.1687919146667,316.46221636375554,RUS
14,127.16744347774379,117.74035942412536,LEC
15,119.45194021976566,115.87947206846778,LEC
16,104.41928054083101,105.92434304411417,RUS
17,237.6079764978882,238.34362322554458,RUS
18,286.219132397361,287.5199727348458,RUS
19,307.697321264,310.3533856934553,RUS
20,318.3492186826667,320.1154526239599,RUS
21,319.54755003109,324.0057578643462,RUS
22,125.61809679435255,120.16061356270153,LEC
23,203.53498201379443,210.88299680721934,RUS
24,269.58400843638606,268.55892466632037,LEC
25,283.3531248,,LEC
