Minisector,LEC,VET,Fastest
0,273.16798514622826,270.2652687610214,LEC
1,290.8997371338528,288.5133745341799,LEC
2,283.01926817463357,271.65751440577196,LEC
3,153.5195098862298,153.86911208008877,VET
4,197.30051472680745,188.88685446830345,LEC
5,170.14271331732192,166.8436746160684,LEC
6,167.10413883689594,155.9612997419372,LEC
7,193.30053157822258,186.13029741222263,LEC
8,239.2409152262095,236.44834213469386,LEC
9,234.1306575663711,228.45618829660614,LEC
10,145.78795012142956,141.72649004225661,LEC
11,219.7937474940388,213.48904152380953,LEC
12,108.43246563464334,108.33313597307581,LEC
13,212.14628475481265,209.11671335076477,LEC
14,263.50268092812263,261.00305532444446,LEC
15,276.3801337653212,269.36523885714286,LEC
16,175.4479837279552,171.94181297798843,LEC
17,157.10328725453633,155.42280419278092,LEC
18,254.156067941439,251.04874448373425,LEC
19,282.0097446671261,277.38191753893193,LEC
20,292.15238432507937,289.5137183695238,LEC
21,285.766743657997,278.3525495828511,LEC
22,242.96119179564627,232.3834932995607,LEC
23,102.65241241261258,97.89544641737406,LEC
24,222.80594900230648,219.60397676108647,LEC
25,258.5857133714286,,LEC
