Minisector,LEC,PER,Fastest
0,267.2907635039946,263.8300279512961,LEC
1,298.36537701948964,293.88155948272964,LEC
2,313.453189170068,309.98395783829596,LEC
3,322.3552618096929,321.55972246349205,LEC
4,327.9624390116233,328.6579298240325,PER
5,330.8773384272109,332.4982144,PER
6,272.6520794074074,285.441403,PER
7,115.99221433355702,111.51865333532479,LEC
8,156.69574220949931,148.43960590541852,LEC
9,255.1919002666667,250.8315804631579,LEC
10,292.1062506,287.02763952,LEC
11,246.3265340262782,242.53166933024963,LEC
12,94.4546058843215,91.95371276103796,LEC
13,113.59400389128919,110.65617607667214,LEC
14,219.79264565982515,215.08253705325612,LEC
15,190.73599906133336,183.2892961909432,LEC
16,219.9553809606643,220.4892852825397,PER
17,195.37088217777776,188.68363087573223,LEC
18,223.332768816809,223.32498395961693,LEC
19,274.2870377481482,274.00802008375894,LEC
20,289.94944312888884,287.16095341361125,LEC
21,161.1359666839714,153.25524194408604,LEC
22,101.88767712498209,98.59335061524416,LEC
23,122.88070264225203,122.74830470004935,LEC
24,207.28962290202236,204.69546941614905,LEC
25,246.6625024,,LEC
