Minisector,PIA,SAI,Fastest
0,280.4419327417787,290.4217800292064,SAI
1,124.64506921535235,121.08651304408292,PIA
2,167.0414499046425,171.41489073277802,SAI
3,211.62049671736494,200.83300892850795,PIA
4,170.01615076405537,172.742867079017,SAI
5,243.2307273709091,243.72265438223323,SAI
6,227.63135581875903,209.07714948845714,PIA
7,134.0354294105884,138.41585963269998,SAI
8,232.88516225871345,239.51601365656566,SAI
9,285.02199761608466,285.73023778024276,SAI
10,295.2578152251893,291.22774175396825,PIA
11,154.05072631266768,154.65819098506591,SAI
12,225.63490629775248,223.37077756732282,PIA
13,271.18502838812617,271.67273028,SAI
14,258.4838387737143,256.4056563531907,PIA
15,100.41898412597871,102.12155258697857,SAI
16,219.54855130590545,223.66450006044442,SAI
17,281.1316965561905,275.77580487230625,PIA
18,303.459851147619,306.6377172939021,SAI
19,319.7932158094515,320.82134600428907,SAI
20,325.46010042380954,327.816344295873,SAI
21,280.2669423077694,264.9474641051549,PIA
22,152.6478985535719,148.69552113321987,PIA
23,240.86371588969425,240.52912727009524,PIA
24,289.1569993539589,285.1019845574477,PIA
25,299.8571428571429,,PIA
