Minisector,GAS,NOR,Fastest
0,291.30426041890314,291.83077241021596,NOR
1,300.1558634145081,303.08261266766914,NOR
2,304.80674336842105,309.3583958536341,NOR
3,292.1818908452563,300.1413963015139,NOR
4,167.86486342495405,165.48738456296297,GAS
5,209.1078095664135,210.85850204507412,NOR
6,228.96977320266092,234.74349926399998,NOR
7,263.45114013495225,266.5515037900776,NOR
8,253.09003742608692,245.63869138015357,GAS
9,159.47314812104884,163.06869183059416,NOR
10,226.8688347220929,230.75173916647617,NOR
11,136.71927122727493,132.9781961490091,GAS
12,222.2442299897436,226.09118882742857,NOR
13,185.5294509052914,183.31033158853026,GAS
14,217.99568638881422,217.81169723076923,GAS
15,234.79995219350425,246.00334319992862,NOR
16,254.59851221468256,265.11136305454545,NOR
17,277.5478741260771,289.206852645614,NOR
18,127.34333321321117,126.15286789608886,GAS
19,161.81112386655417,162.98739784635984,NOR
20,146.50843954090354,146.93252370989012,NOR
21,159.64308343996464,155.28411431458645,GAS
22,117.47641678882233,113.65711721401905,GAS
23,227.5655469775238,228.3664988769524,NOR
24,270.8210608330635,277.6743227664443,NOR
