Minisector,PIA,BEA,Fastest
0,289.8327501019806,296.46930316880116,BEA
1,155.0319817153803,154.75790322850105,PIA
2,148.3617020956362,154.05991419221374,BEA
3,229.31218162511465,226.96495623089731,PIA
4,287.14754173598845,289.75450081477635,BEA
5,285.70882322351963,287.7701729521072,BEA
6,136.89435485969713,140.15377174162106,BEA
7,139.00432899523335,132.36217717249878,PIA
8,135.0441831265874,131.97723096112847,PIA
9,193.33152022327207,185.93574452333334,PIA
10,132.11571302381677,128.2534815062519,PIA
11,124.1134249235235,120.2491511303988,PIA
12,162.35346762455026,165.8930910989732,BEA
13,267.21387811321995,269.5123675346966,BEA
14,284.4721193288676,292.9755366698605,BEA
15,148.74101841638984,138.85610854102134,PIA
16,201.52012717545807,197.23614624182295,PIA
17,165.80847259436314,173.75461708568034,BEA
18,268.0314582006621,274.1643456758288,BEA
19,297.1025296016768,298.85408187210885,BEA
20,311.00730453490826,313.73165038182094,BEA
21,320.03157904360904,322.5934771225397,BEA
22,324.91883579051853,326.2678950025731,BEA
23,326.8562499809524,328.617040630392,BEA
24,318.95729125155555,327.4537246666667,BEA
25,316.0,,PIA
