Minisector,SAI,GAS,Fastest
0,277.183489510559,276.44408441954937,SAI
1,295.1037824487597,293.2769731372482,SAI
2,222.04818846733772,224.25442922707268,GAS
3,125.76723432366411,129.00376062238462,GAS
4,183.53424436397214,182.4633997833267,SAI
5,120.39374231135554,122.98991706588076,GAS
6,213.777415241014,211.71766059174604,SAI
7,258.31267383492064,256.84406459784736,SAI
8,177.59726041155255,175.66409889163197,SAI
9,185.71776882462513,183.6408074900614,SAI
10,265.4008805763975,263.3454868,SAI
11,189.70402354825703,187.40781507155722,SAI
12,165.75132405679958,170.09169872435277,GAS
13,256.1075003733333,257.9183389351923,GAS
14,272.68115982608697,272.52304985303056,SAI
15,285.2994080128269,283.99886361212117,SAI
16,201.84758240990354,205.0629325114398,GAS
17,192.7553591856167,190.33033220901402,SAI
18,244.1330144,243.08204048073063,SAI
19,283.8580551354854,282.5598315858544,SAI
20,294.2785980589203,293.17743769977324,SAI
21,203.32323554571016,204.51534214534536,GAS
22,148.18974377143797,147.93381316581463,SAI
23,158.61228456223205,156.18889403778044,SAI
24,226.93716476798934,227.17883075531992,GAS
25,,261.26666666666665,GAS
