Minisector,STR,OCO,Fastest
0,262.45260156681246,258.9441194666666,STR
1,137.59046866492946,129.9737132071324,STR
2,196.45729306666667,194.16328471759854,STR
3,245.64466215145052,242.3828421647059,STR
4,258.73437466666667,259.02039578270336,OCO
5,185.11558248311687,181.64856096698077,STR
6,146.85506348145623,149.40892906666664,OCO
7,180.40652377971014,181.4698718538463,OCO
8,101.83426920344604,102.37424938165996,OCO
9,77.72179958962964,77.62350803049989,STR
10,94.13981107737372,94.53987621355864,OCO
11,181.7460658517169,179.7977026985382,STR
12,248.75416753333334,242.033259643603,STR
13,270.8140340602262,264.7640619333333,STR
14,278.9124978488889,277.45888903111114,STR
15,120.58397642884354,120.10212836922119,STR
16,139.04772706138948,141.98425651358025,OCO
17,197.84999974603176,193.771389629803,STR
18,201.49901449745883,194.794442615873,STR
19,223.4829490072828,219.84605411929826,STR
20,131.3016979612265,133.08938110296913,OCO
21,120.32702461275848,113.1653754832993,STR
22,91.06911504979503,92.85921167792208,OCO
23,198.97500186666667,193.69714885295969,STR
24,250.8503856851541,246.12152663703702,STR
25,262.2583328,,STR
