Minisector,VER,GAS,Fastest
0,279.9849867428572,281.5261190722689,GAS
1,125.67383353956306,122.373888161434,VER
2,167.28920008340825,159.74529465477474,VER
3,215.5117967930736,208.11331198429508,VER
4,165.71398363784868,158.3859216190444,VER
5,238.88372037333335,240.8568425237423,GAS
6,207.94560201407867,210.62973410909092,GAS
7,141.24222453641113,136.51492722496988,VER
8,234.44219336542832,232.46842161403507,VER
9,274.34228158974895,274.8908214998788,GAS
10,282.47476706428574,284.5648434,GAS
11,151.7689867604874,146.2136963476652,VER
12,220.67830145108226,218.54708405333332,VER
13,268.889656752381,269.0646500910053,GAS
14,269.1550142277446,254.64824465964912,VER
15,102.32521914499057,99.51934263776809,VER
16,222.32530934168787,225.29843830095237,GAS
17,271.00343065098036,271.3082021175271,GAS
18,289.1372394,290.44429427729006,GAS
19,299.9297061285714,300.0695313333333,GAS
20,304.4377777777778,304.5872223288889,GAS
21,287.7625013333333,272.0131436499743,VER
22,159.50553583045934,154.0306248852189,VER
23,232.66008799238097,237.16118551578947,GAS
24,272.6971373133828,275.17156912941175,GAS
