Minisector,RUS,OCO,Fastest
0,277.9330932276543,271.9698804194486,RUS
1,303.36295900734694,299.33331955635157,RUS
2,315.944142934026,312.23575794832954,RUS
3,323.6873304302155,318.6516607552448,RUS
4,326.20944041295235,321.5081844952381,RUS
5,329.08337721008405,323.5110116525821,RUS
6,202.1230960326041,190.5399487201814,RUS
7,108.80412694395636,104.26586490467211,RUS
8,192.19309991658628,194.1735342431117,OCO
9,261.7201061948773,267.96176959568055,OCO
10,290.7011537723077,293.68386262906614,OCO
11,162.23741296803843,149.30891107401214,RUS
12,99.43098763612647,94.60978073897739,RUS
13,116.46206075204458,113.4461601495521,RUS
14,221.08059703161905,211.27710913895504,RUS
15,193.11063609015875,191.82266221663494,RUS
16,225.18371546174606,224.10785885348503,RUS
17,183.88795892110522,180.79818747597884,RUS
18,242.56783323846872,245.36677304813634,OCO
19,280.4236399607018,283.03519851757574,OCO
20,241.89883562426067,231.2354100732437,RUS
21,150.51136990355934,140.38557685333333,RUS
22,98.35343960674523,96.21216549574315,RUS
23,126.63027973090453,127.03453797570063,OCO
24,228.20143461280563,230.60111727382056,OCO
25,257.8045463272727,,RUS
