Minisector,OCO,RIC,Fastest
0,248.73122927871657,249.88069260606062,RIC
1,200.6736540761905,200.95307160430107,RIC
2,201.70262991842364,196.16573960357144,OCO
3,254.94090408285714,250.92043715109187,OCO
4,269.4479825652443,265.6865144295873,OCO
5,281.80427165233084,280.3267290104309,OCO
6,161.60428976083438,153.7533189169277,OCO
7,178.12423460866003,173.06796977868962,OCO
8,262.0568248942356,262.5639641955473,RIC
9,289.8025342903319,288.6086914545029,OCO
10,299.3396142670017,299.44946146394557,RIC
11,295.06780045351474,296.82295414124184,RIC
12,111.85635922029928,105.16549455213128,OCO
13,186.50301040588587,187.99618086031745,RIC
14,266.9024708814355,268.0017981706293,RIC
15,292.3272299565756,291.79419139381787,OCO
16,290.73986427936507,293.37140875522425,RIC
17,181.195704483086,177.51975421776433,OCO
18,216.3309499107483,217.43488671933412,RIC
19,258.22427275636363,264.02696183555554,RIC
20,155.9119953269112,150.1110591387048,OCO
21,139.78829967520815,136.17738184279347,OCO
22,217.0297744186948,210.1790242179253,OCO
23,226.1504855079587,218.1321188786989,OCO
24,161.05777861127893,153.3533760450438,OCO
25,224.9625,221.7500096,OCO
