Minisector,OCO,PIA,Fastest
0,253.9236153295238,259.80806613946874,PIA
1,128.70495677124265,131.812065285739,PIA
2,197.33903262984126,200.65713781604276,PIA
3,242.5523774245926,245.96894031238094,PIA
4,253.56762900410268,257.36745944533334,PIA
5,173.48829178412697,173.0870140533669,OCO
6,147.12044793629568,143.39129671013433,OCO
7,178.51361256533332,182.57352601147156,PIA
8,97.2595642673903,96.1693457642469,OCO
9,72.20307600632867,69.10176122454367,OCO
10,92.77222141242693,90.04506628360295,OCO
11,181.11512835943978,172.9940294675664,OCO
12,238.2098640987013,244.50794468491227,PIA
13,266.5154603331061,269.0650116114286,PIA
14,273.4515306122449,273.09645728761905,OCO
15,112.3739554333939,107.64349940789043,OCO
16,138.3346432078091,141.18007541764396,PIA
17,185.41036734419754,178.4019747798167,OCO
18,196.05866594855118,191.85243819253375,OCO
19,199.9270979854342,204.97436812282828,PIA
20,132.31179433025642,131.21360320479843,OCO
21,108.49849749010102,111.5141776241605,PIA
22,93.94178346371902,89.96855428131148,OCO
23,195.27537079703703,188.24700708068525,OCO
24,245.62564157264958,249.63985248627455,PIA
25,261.6666666666667,264.13999872,PIA
