Minisector,STR,TSU,Fastest
0,306.25526416698415,306.9885965810526,TSU
1,214.5958615379048,234.31224192154588,TSU
2,129.9356906500729,128.95103174028404,STR
3,215.50255067204924,216.4566400585231,TSU
4,262.05582223765026,260.88276043281536,STR
5,284.7042533434741,286.1636558133306,TSU
6,300.66321127529415,298.72029799757576,STR
7,267.7105825152951,274.68601471525926,TSU
8,167.31917824149224,163.29262127813357,STR
9,237.89201747740262,236.29263707827664,STR
10,269.6315107156661,270.36114433170803,TSU
11,252.2335344206561,263.81782258370373,TSU
12,208.62872929502063,210.94315209333334,TSU
13,129.06240620459886,130.97825405740568,TSU
14,121.54091482287336,120.75105425581357,STR
15,171.04650622108403,161.63577288181406,STR
16,127.17406416880671,119.20132185470374,STR
17,229.0681630057825,225.34618719932593,STR
18,177.20778136423127,180.08465761211602,TSU
19,160.8457851372646,153.3427744412317,STR
20,244.9419630629665,241.81490162996823,STR
21,273.40023911942586,269.5985124552381,STR
22,290.3251814423903,286.63020482054924,STR
23,299.8893891128889,295.6360864838095,STR
24,303.07319123116883,300.8818813753535,STR
25,304.1727278545455,303.0,STR
