Minisector,PIA,SAI,Fastest
0,276.69786805333337,278.4627191690949,SAI
1,297.9681693881097,298.46063797457543,SAI
2,298.8135861312253,297.38909087996166,PIA
3,174.37441925358956,196.09695851598335,SAI
4,118.94723244166845,120.63020247978271,SAI
5,238.63385195539394,235.11422028665413,PIA
6,282.27897606278685,280.35137640221177,PIA
7,298.6317080888889,296.4482149662615,PIA
8,184.7638039452754,195.67530871876133,SAI
9,144.7187463493283,148.1940524944702,SAI
10,255.2849998206061,249.68379657371932,PIA
11,291.1423351209975,288.38700847855733,PIA
12,305.1365252593513,303.73901616806575,PIA
13,290.33402459447007,288.6520238494331,PIA
14,298.9018195453291,296.8218683348918,PIA
15,302.1432737834921,293.78863505719005,PIA
16,268.69505676045435,264.8852622094122,PIA
17,239.71040563809524,239.1667304155978,PIA
18,281.64933515948076,275.71508438984125,PIA
19,300.9000642225245,295.86249428517476,PIA
20,307.93000039921884,301.3008824746163,PIA
21,252.35149865306124,253.41628068862056,SAI
22,268.59103598985973,265.61846675140754,PIA
23,138.48394211658223,152.04069479309985,SAI
24,220.39794280290832,214.42291936861463,PIA
25,,255.8916672,SAI
