Minisector,OCO,ALO,Fastest
0,280.8116851749074,279.6309051410728,OCO
1,144.15493356305123,140.6585698095724,OCO
2,214.4864761264814,206.03044375211837,OCO
3,277.3147905709037,272.6661026150111,OCO
4,305.41287465109355,319.3695917187527,ALO
5,295.87080676557076,284.44012836138,OCO
6,148.06093137095516,144.0584992599484,OCO
7,229.15894110751836,246.7816934092763,ALO
8,105.73981210014101,108.1807276249492,ALO
9,165.7957284410993,164.97258590648494,OCO
10,276.7935286633336,275.1627231827185,OCO
11,292.87024595613747,297.90657438809234,ALO
12,203.2301980043122,231.93058340634076,ALO
13,173.6264261058366,168.98397067151376,OCO
14,279.6836825141406,268.54482189333334,OCO
15,309.49422830973083,309.3010006348511,OCO
16,321.90144654922364,321.42148450009813,OCO
17,328.6225031974153,331.47972059139784,ALO
18,329.36189680725573,340.476297096211,ALO
19,323.1653737338252,345.4101002738847,ALO
20,183.41023676375457,173.78489333794852,OCO
21,184.2619938854531,174.825217329261,OCO
22,279.97610108321993,281.06533085272736,ALO
23,311.451996874181,311.51907595561516,ALO
24,319.4655435107976,323.4696413969886,ALO
