Minisector,NOR,GAS,Fastest
0,298.6936787753873,304.15355164160155,GAS
1,308.51352498966133,321.71708413415985,GAS
2,313.2302528485498,329.5032636165079,GAS
3,296.54791005291,306.39016647162794,GAS
4,163.29680094406132,155.1040266288845,NOR
5,209.09905325033586,208.9596364838788,NOR
6,239.53935890241547,233.34452887923248,NOR
7,269.91048585200764,268.9977425511111,NOR
8,245.1442851986532,244.56213472858497,NOR
9,167.0948871272882,156.89993203105763,NOR
10,221.81239883048667,215.62334929173085,NOR
11,131.02376758238285,126.30754324114854,NOR
12,232.74337811875776,225.81505524997647,NOR
13,179.51526773289436,171.73231136994625,NOR
14,219.1964434873957,218.522847270559,NOR
15,247.3196691595985,242.34289819382417,NOR
16,268.27823229714284,266.53642870718613,NOR
17,290.836505821645,288.45004423365083,NOR
18,171.48972281678002,145.23219741357357,NOR
19,172.33888592868422,161.6747642185145,NOR
20,144.6533694244699,138.468147168551,NOR
21,236.83142222111277,231.5136220420513,NOR
22,269.12565602680775,261.7143220894418,NOR
23,258.1288512795403,251.1060192019671,NOR
24,282.92473911649836,278.5809588312843,NOR
