Minisector,PER,HAM,Fastest
0,310.0425797164815,311.17453416784315,HAM
1,212.83140991544033,201.2252361876015,PER
2,141.1192097777926,149.6031949640037,HAM
3,224.17770738956054,224.4362037037037,HAM
4,166.60353988422486,164.6572797373906,PER
5,175.20974540142046,186.45497270845095,HAM
6,254.81074475238097,254.2132454496203,PER
7,282.29617819364825,282.4458911259259,HAM
8,291.2000834915555,290.25896103896105,PER
9,268.4078564198942,265.0612346682883,PER
10,242.52534868917175,239.4850599038434,PER
11,233.8874089771731,241.002646,HAM
12,199.20941909678498,199.04950056707602,PER
13,121.9255544097277,128.78883433252787,HAM
14,130.09651921671255,133.05829674978452,HAM
15,170.48515655532415,173.3283304160543,HAM
16,249.47819770188042,249.61032142857144,HAM
17,235.68901823041364,239.8931074146584,HAM
18,114.05606013102592,114.84823607044481,HAM
19,197.81571454262243,200.0335709052093,HAM
20,201.09922135366043,204.477413974914,HAM
21,235.5638843683744,239.99448194675793,HAM
22,266.577048021112,269.16354745825873,HAM
23,286.80331990453783,287.67864140011204,HAM
24,301.9470100078431,303.39964094039664,HAM
25,306.4821430857143,,PER
