Minisector,RUS,SAI,Fastest
0,289.4760024571114,290.17154087778204,SAI
1,171.20979461937327,163.51952479718167,RUS
2,167.9583613180004,167.83602060511885,RUS
3,250.58475254450795,251.58274372482447,SAI
4,285.035459334966,283.9078400972027,RUS
5,253.11478751265597,241.7346360307046,RUS
6,218.8254729735279,216.8979886295619,RUS
7,153.56766297910937,152.9299165401383,RUS
8,227.32098958728386,230.3718862379203,SAI
9,282.63771509925925,279.53790238084696,RUS
10,299.0287370444828,296.3373084661676,RUS
11,306.0350565773983,305.06937975071907,RUS
12,308.79361635080215,310.1667834896435,SAI
13,308.75,308.9617857142857,SAI
14,131.45689333297693,130.22414220941957,RUS
15,123.35490209796673,122.95414716797487,RUS
16,105.9644392581693,105.50061225512484,RUS
17,234.21774938531357,235.64791229686858,SAI
18,286.6445611398256,285.20081016828357,RUS
19,306.3457420377727,305.97543503948754,RUS
20,313.27664405684055,315.53614588266663,SAI
21,316.7686662842857,317.0570723789474,SAI
22,135.71367031794142,124.03997878835818,RUS
23,203.27672826934244,214.25725716607928,SAI
24,269.22667033936057,269.03997513341943,RUS
