Minisector,HUL,VER,Fastest
0,276.22861153710284,279.35518294222226,VER
1,293.7030996171274,297.5620090724894,VER
2,288.5392237238598,298.3055962357287,VER
3,174.75410005963528,179.63833106457736,VER
4,116.6118580534224,120.02261386663369,VER
5,235.74648820876786,236.25323988524397,VER
6,279.35774156918166,285.31539146593104,VER
7,288.1180057004329,294.40081822857144,VER
8,174.86848252486774,169.0841580408671,HUL
9,140.96418747475943,141.9680875141522,VER
10,250.7143886309297,251.33225140029361,VER
11,286.3390364687973,292.64412235950306,VER
12,300.50507009587767,295.90225638697535,HUL
13,280.0695596643771,281.4293330948309,VER
14,299.71836058320343,305.11485561918994,VER
15,296.2941808979488,304.36678098365394,VER
16,250.23495160439558,238.55225691256004,HUL
17,228.01488153625954,229.42616993095754,VER
18,278.4716194115751,286.3263711896795,VER
19,302.1070964723022,311.065051414269,VER
20,305.75288088694464,313.8428658661214,VER
21,238.97529295563467,232.30587811200002,HUL
22,260.21539445106146,260.9293403807215,VER
23,141.09626592426807,137.0708499861466,HUL
24,218.0700247496658,222.1230721588885,VER
