Minisector,RUS,OCO,Fastest
0,299.60312413617316,297.33151248592594,RUS
1,241.37285385315923,253.89696381335978,OCO
2,133.13253468753624,127.31672199884139,RUS
3,238.7424544349787,235.3479008246962,RUS
4,191.78291854319326,193.14510662831725,OCO
5,244.7704358335952,244.4719158365683,RUS
6,233.6843185158423,228.50737594236512,RUS
7,258.3252460732138,251.7809026629211,RUS
8,284.67109546971426,283.04982217071205,RUS
9,201.41189140270043,214.13149824669182,OCO
10,205.4654627545705,197.67264974245117,RUS
11,273.70366800022083,268.40491204534754,RUS
12,216.75180156495375,215.4648409267084,RUS
13,253.21759208067624,246.08003135883402,RUS
14,289.5134363105102,287.1830267115323,RUS
15,304.30806774724635,301.5264337811289,RUS
16,301.2450777023052,298.52530940948185,RUS
17,213.66952168276376,213.3523093122344,RUS
18,257.22493908544516,259.41503268044573,OCO
19,293.3458336646465,292.75041699975156,RUS
20,306.5690169204427,305.48542544888886,RUS
21,309.772886872381,310.86148438857145,OCO
22,151.84212546880036,152.293623039601,OCO
23,231.39690095942652,230.68454583119302,RUS
24,280.9795109809778,282.8412759346189,OCO
