Minisector,SAI,STR,Fastest
0,289.37292227004644,287.676326624462,SAI
1,294.04415967764174,289.9052789683185,SAI
2,164.49318579584414,166.58317829111544,STR
3,222.4966237254266,220.24834233101146,SAI
4,272.5368343500891,270.815873015873,SAI
5,294.79752801313873,292.3165501412987,SAI
6,299.14351833563813,299.8572374886181,STR
7,163.6775341968254,181.6024824646733,STR
8,121.97924510788319,125.3491350515841,STR
9,246.16806540511277,247.26245637613604,STR
10,284.4892954588002,282.39711597755434,SAI
11,293.8235819966984,288.90420385238093,SAI
12,145.69592878627705,146.18348316105426,STR
13,195.26049586016688,195.2658623788034,STR
14,255.02237587978638,255.54531223064043,STR
15,201.10095664315537,209.79156264607636,STR
16,211.67122522220606,219.2512795319467,STR
17,207.73847386551225,213.88742961995462,STR
18,238.42891473568628,241.5264989177489,STR
19,277.26850746074075,276.84868942576105,SAI
20,293.00035778585857,291.7186763545098,SAI
21,257.54552503510206,264.0486964886965,STR
22,221.87151061773105,224.04647371949642,STR
23,207.25886701511112,200.553856178882,SAI
24,265.6142982866121,260.5340569438479,SAI
