Minisector,ALB,GAS,Fastest
0,264.27373165119076,263.6440829131653,ALB
1,292.99505144761906,293.2515620666667,GAS
2,307.7710453877551,315.36209208970894,GAS
3,315.5702775466667,330.2445514666667,GAS
4,319.96805546666667,338.9911988136054,GAS
5,322.5065475809524,344.20554036043956,GAS
6,284.6671908,291.2247951603672,GAS
7,118.5776204542497,115.8101682984127,ALB
8,153.4268835435695,156.35287271724135,GAS
9,250.11319253333335,257.2599523386243,GAS
10,287.4196419176743,298.0018193049882,GAS
11,233.28208177349163,242.72159669064655,GAS
12,94.61063759461334,93.5957356750243,ALB
13,111.97311866070065,112.37995305614487,GAS
14,214.60825097835496,215.8014569066667,GAS
15,191.49478474167617,185.67569449817057,ALB
16,225.3277479351636,220.9263885206349,ALB
17,192.21815548571428,188.39183651442843,ALB
18,223.05428681738118,224.74416544000002,GAS
19,271.5123440304646,273.33918600634917,GAS
20,287.8656256,283.37519985022567,ALB
21,162.93385718562055,150.78823471238096,ALB
22,102.44464803006862,103.43263446189533,GAS
23,123.05620833394396,123.02723856874505,ALB
24,207.36721993571516,206.56231019220778,ALB
