Minisector,RIC,ALO,Fastest
0,289.6467102877193,288.9373915716918,RIC
1,296.6962724491228,296.26827744985997,RIC
2,162.5541105101574,170.9470746091018,ALO
3,216.97847217777777,220.60716667733334,ALO
4,269.96899953548734,272.35855219649125,ALO
5,292.4061401824561,291.8821378524346,RIC
6,300.7044817927171,299.66176476862745,RIC
7,186.3517148992305,196.87642031216703,ALO
8,116.13795285208384,116.44220925217391,ALO
9,246.656688738506,242.1981037110357,RIC
10,282.9389410887218,279.4709216793186,RIC
11,293.5712964740741,293.21296296296293,RIC
12,143.14458253963815,160.82709381004221,ALO
13,186.22051625388704,175.61555717569786,RIC
14,254.68560084172336,250.91901732715525,RIC
15,199.00710221060922,219.66035800380953,ALO
16,215.97702798991625,211.16618440650825,RIC
17,211.36299976533334,217.41850039466667,ALO
18,243.10891254724638,234.37246302608696,RIC
19,276.3964912280702,271.6641080569626,RIC
20,292.7164473263158,289.75694423703703,RIC
21,271.66511984761905,279.9975009066667,ALO
22,225.7104167111111,238.70112841300903,ALO
23,200.6366602237389,197.07211487179487,RIC
24,263.5954363936508,257.2212007029586,RIC
25,,278.0215587455757,ALO
