Minisector,SAI,NOR,Fastest
0,306.43301321025643,300.60758380811285,SAI
1,237.49349799206368,239.04318131722152,NOR
2,130.56982603370218,131.9895233220487,NOR
3,240.24092087142856,239.2851559,SAI
4,185.29403538484124,189.43235484588718,NOR
5,247.58750021505378,246.47623794087517,SAI
6,227.83455601563065,232.75791786157885,NOR
7,255.8890885633371,258.8815376713574,NOR
8,291.7086964410916,285.35267874285717,SAI
9,204.77297515357955,203.59166298326576,SAI
10,208.00889868108106,205.13328511746033,SAI
11,275.0032150721693,271.146018384297,SAI
12,212.88442826666665,210.2347605912934,SAI
13,247.3001626288172,252.4464167918273,NOR
14,290.59446053040296,292.34273832929034,NOR
15,312.9415457526278,303.70016674133336,SAI
16,319.9730897333333,298.2155442871795,SAI
17,220.6067074827493,231.3793707932775,NOR
18,265.29930659555555,271.6846732571429,NOR
19,297.89933380266666,297.9941831892818,NOR
20,318.4285003946667,302.98685891282054,SAI
21,323.89400101955835,292.6223349298168,SAI
22,149.96242050655232,152.6580118153846,NOR
23,233.90817656483082,241.71182936282642,NOR
24,298.1405916717949,288.46761442904136,SAI
25,313.94166613333334,,SAI
