Minisector,LEC,TSU,Fastest
0,287.14641162220744,287.77412266666664,TSU
1,299.06067442756085,294.47543848421054,LEC
2,170.29278265238096,163.42377418039214,LEC
3,216.3780228119779,217.43884917414553,TSU
4,266.46944422312924,270.23452413968255,TSU
5,286.0276316631579,292.09561386666667,TSU
6,292.8729364421,297.9304616955445,TSU
7,192.8547425360544,169.68613266929628,LEC
8,119.23103204092345,120.3655263775372,TSU
9,244.5119613315193,246.33653285097955,TSU
10,278.00921202821104,286.6209276310777,TSU
11,291.6493420350877,302.3351856,TSU
12,149.55693604879886,141.79622828851922,LEC
13,185.9105863782313,188.11510063633156,TSU
14,255.09547828451562,257.4840245238758,TSU
15,205.42377637384988,198.67654230123458,LEC
16,215.252069145944,204.82593945247874,LEC
17,219.865117128634,204.95110801867315,LEC
18,241.53211575411254,241.03359179792963,LEC
19,272.1822286016052,276.42017536106124,TSU
20,289.08128718005315,296.00895987969926,TSU
21,267.65760655535365,248.4905310060606,LEC
22,225.09378870685535,212.21889643562042,LEC
23,199.32751844102566,203.46033939753087,TSU
24,259.8196901774454,264.8558309390579,TSU
25,278.16666879999997,,LEC
