Minisector,OCO,HAM,Fastest
0,280.8116851749074,290.7676129714157,HAM
1,144.15493356305123,142.71307690720099,OCO
2,214.4864761264814,212.16336786254396,OCO
3,277.3147905709037,269.2041418283288,OCO
4,305.41287465109355,314.77895230988685,HAM
5,295.87080676557076,313.56305455258604,HAM
6,148.06093137095516,147.99522951719015,OCO
7,229.15894110751836,250.96764236832865,HAM
8,105.73981210014101,117.47354532286313,HAM
9,165.7957284410993,152.45517765461022,OCO
10,276.7935286633336,274.6148404679261,OCO
11,292.87024595613747,300.4277363924567,HAM
12,203.2301980043122,250.0197794849331,HAM
13,173.6264261058366,150.8104063242173,OCO
14,279.6836825141406,270.05160675788335,OCO
15,309.49422830973083,310.6637606492037,HAM
16,321.90144654922364,324.83714905190817,HAM
17,328.6225031974153,334.85874976969694,HAM
18,329.36189680725573,339.20424109714287,HAM
19,323.1653737338252,333.80459237232054,HAM
20,183.41023676375457,228.08898433908058,HAM
21,184.2619938854531,154.27405011238992,OCO
22,279.97610108321993,274.79335728332455,OCO
23,311.451996874181,310.4836229392439,OCO
24,319.4655435107976,324.00441769651894,HAM
25,,320.7644111722916,HAM
