Minisector,HAM,RIC,Fastest
0,309.3742787383441,297.20181457414964,HAM
1,322.8773496781955,309.007957437594,HAM
2,326.0514706196078,313.5182869925926,HAM
3,322.9682010385965,304.56416544,HAM
4,176.17108499393942,166.59882375149974,HAM
5,209.29806727392395,208.77280188211458,HAM
6,237.41750024533331,228.5055070778834,HAM
7,265.0208872791279,264.94645904546695,HAM
8,255.90760728115944,254.54353478121794,HAM
9,164.5200419686927,162.07316170912847,HAM
10,228.25457854945054,224.83497543380489,HAM
11,132.29408760880244,127.98254055912575,HAM
12,227.26774336703298,233.00473738971428,RIC
13,186.42602395835146,179.65585491061805,HAM
14,221.10256496410256,223.90649898666666,RIC
15,245.9469976880657,248.82698734050874,RIC
16,263.0340912969697,267.7150099167339,RIC
17,281.8906746920635,287.33372972698413,RIC
18,161.27394680685958,146.54580649755064,HAM
19,174.5923122039241,171.04307259432093,HAM
20,147.51145856,146.5445740927239,HAM
21,167.50825573751732,158.01515989236233,HAM
22,115.3680239000381,116.34894972552058,RIC
23,221.65355022222224,232.58199931733333,RIC
24,270.83885524342236,273.879371595199,RIC
