Minisector,PIA,LEC,Fastest
0,271.5336618492517,273.3565139003752,LEC
1,253.51826428034445,250.72682185043476,PIA
2,119.6863508618449,122.30797065502398,LEC
3,176.00390682786636,174.35562867642858,PIA
4,196.64398964008734,195.50861479801858,PIA
5,198.52028140901587,199.32146725583814,LEC
6,262.5175089636431,264.80980141714286,LEC
7,283.17473348667795,286.9132007017544,LEC
8,235.07401060124445,245.54214405547725,LEC
9,147.16267539087718,151.83461371020474,LEC
10,119.7270340100118,121.13830288158762,LEC
11,170.72151902930477,164.41183676765868,PIA
12,247.67450944738815,246.54561136900432,PIA
13,162.90438026096365,153.7658150859011,PIA
14,150.57869648267334,138.2792694467668,PIA
15,106.36627068551849,109.2968843769095,LEC
16,216.04438293237746,218.11936281428572,LEC
17,228.88138553637427,242.11787545200565,LEC
18,130.89089438081535,131.59037457431455,LEC
19,239.37635684419047,237.00910202332497,PIA
20,274.3387550448828,275.78185292631576,LEC
21,203.21173951259843,195.2618081021744,PIA
22,156.06716538152145,148.9102626895737,PIA
23,220.3901567748857,218.17341867851394,PIA
24,235.66569016259217,233.04868535905226,PIA
