Minisector,LEC,PER,Fastest
0,304.8090248999619,307.9995019788101,PER
1,138.0252620121022,144.37139516297705,PER
2,213.0371762587199,211.79305459002944,LEC
3,278.05289656261874,271.8636362938932,LEC
4,319.5583647129252,310.96120046553483,LEC
5,318.97989964083456,318.3794371733333,LEC
6,147.37749670097335,149.18627801212347,PER
7,243.29984345212625,238.75418257258968,LEC
8,114.89789075697031,117.37136490462382,PER
9,140.2938104309179,142.80805627576902,PER
10,273.3514478040381,267.0499940385184,LEC
11,300.06482128979593,297.9325002417316,LEC
12,252.18025204370005,256.04171600235156,PER
13,159.79910896146924,150.16250114975057,LEC
14,271.0959420176281,269.28501151966196,LEC
15,308.7943583631078,304.37941712761904,LEC
16,327.3464079622161,321.12497171555555,LEC
17,337.6181855552532,329.9882902432323,LEC
18,348.0544197371429,332.38980444554255,LEC
19,349.65136271879703,328.94216996,LEC
20,211.3717360500022,233.36216457163712,PER
21,152.06412597270224,150.5422174846368,LEC
22,270.1147018899549,268.7198880113516,LEC
23,312.2321499830303,307.4290268827706,LEC
24,328.02972219555556,324.0467913700855,LEC
25,,321.9937496,PER
