Minisector,RUS,ALO,Fastest
0,293.03773014909234,291.4296368903511,RUS
1,177.8350830121088,173.54738018050952,RUS
2,164.78625848679883,172.10693729087865,ALO
3,248.7274266548588,253.71717115936508,ALO
4,288.4402577371428,286.8274445591139,RUS
5,256.53286505886695,250.7710891140691,RUS
6,219.8995315353091,220.6341823209524,ALO
7,152.1834351823085,148.99859322273687,RUS
8,215.611123087948,219.10005739426896,ALO
9,275.73043020533333,278.8063127455123,ALO
10,300.2921968872727,298.61332166359153,RUS
11,310.6541896510242,308.130069391746,RUS
12,315.603437392,312.33854626807016,RUS
13,316.5391055455678,309.3732427188889,RUS
14,118.40199560462094,125.91863648895799,ALO
15,117.04308661101972,115.40103785441116,RUS
16,103.6329125930191,98.04436863784959,RUS
17,235.2636232255446,230.83980901277982,RUS
18,285.9199727348458,287.39956909760207,ALO
19,309.2464557430917,307.8531074906667,RUS
20,319.7367487931066,317.98087552293356,RUS
21,325.0992894373895,318.8978376028144,RUS
22,126.80252008784315,128.22812786210062,ALO
23,203.10108911433284,198.80504916637273,RUS
24,266.3412229280331,267.91813013570396,ALO
25,284.3375008,284.2687504,RUS
