Minisector,NOR,KVY,Fastest
0,274.91598373243573,275.86728559483686,KVY
1,294.9716666168889,294.2444477127281,NOR
2,290.76472569680635,289.70301994624845,NOR
3,178.9191936856812,179.35244975990733,KVY
4,121.24330416374536,128.00854487601248,KVY
5,238.09913792077262,239.43858554718946,KVY
6,279.8013791052242,280.9157941181609,KVY
7,285.3815707897436,284.96968864468863,NOR
8,177.76107623076686,171.87567435556988,NOR
9,139.67589999597166,140.87353775278453,KVY
10,251.36048236432265,249.7492247284821,NOR
11,286.1133330773333,284.0223210107161,NOR
12,293.5446012027665,294.859333248,KVY
13,286.9310896410256,281.5874540893773,NOR
14,301.4386256562557,297.6363997866667,NOR
15,304.0998265714286,301.7670311001826,NOR
16,255.27008130427464,252.0711452437474,NOR
17,225.89364619563716,221.71581469445997,NOR
18,280.45169810684695,279.9567053694924,NOR
19,300.9228331946667,302.0739615052929,KVY
20,300.2036506456328,307.61756001269845,KVY
21,228.53716619373978,221.43480768965102,NOR
22,252.66747193954967,254.25172340229886,KVY
23,134.9198953370367,141.13231816752136,KVY
24,212.9087790743859,209.3882738922383,NOR
25,256.1749952,256.7866085257617,KVY
