Minisector,HAM,ALO,Fastest
0,299.1199349989326,291.4296368903511,HAM
1,157.76794806908887,173.54738018050952,ALO
2,168.5277662607423,172.10693729087865,ALO
3,254.80479386196592,253.71717115936508,HAM
4,291.36668866680986,286.8274445591139,HAM
5,254.77010897015873,250.7710891140691,HAM
6,223.5875817027417,220.6341823209524,HAM
7,147.48410419255208,148.99859322273687,ALO
8,227.87134498489553,222.16632313594815,HAM
9,281.85694824704035,280.4841662422857,HAM
10,303.1314769108805,298.61332166359153,HAM
11,318.9677409669747,308.130069391746,HAM
12,329.06488010857584,312.33854626807016,HAM
13,326.41113746269036,309.3732427188889,HAM
14,121.82595330072748,125.33913331479617,ALO
15,112.54321326018466,114.97246642583973,ALO
16,101.41633915813871,98.36093650868905,HAM
17,238.03510113431875,230.83980901277982,HAM
18,287.8268052839506,287.39956909760207,HAM
19,313.99093591448747,307.8531074906667,HAM
20,330.7956947405752,317.98087552293356,HAM
21,332.3314177163636,318.52216268927987,HAM
22,123.15590290020626,124.38889377437921,ALO
23,200.870987649032,200.73810292154195,HAM
24,271.0140822472727,268.5993835822764,HAM
25,290.0285696,284.2687504,HAM
