Minisector,HAM,RIC,Fastest
0,295.86896189026714,281.9042565883454,HAM
1,316.7827540749996,292.0035716063492,HAM
2,327.1901318736842,294.7914583466667,HAM
3,332.7868055703704,288.6519923478261,HAM
4,267.3703571488635,238.17715939204612,HAM
5,194.98162710857144,190.16003868076598,HAM
6,255.89003591552793,255.5243542955706,HAM
7,269.3830037905067,276.00081172640694,RIC
8,209.3684120538588,205.60006229274234,HAM
9,214.33996829782882,205.95221829585324,HAM
10,145.97801771950267,139.2075362670325,HAM
11,247.43428942697847,245.5433273636594,HAM
12,274.5325756121212,270.1558133588458,HAM
13,227.0657653961647,217.6724402616362,HAM
14,261.53473041490685,258.3906273518278,HAM
15,233.54188320548866,217.28670441925922,HAM
16,184.82122306666668,183.51563470829223,HAM
17,258.71578841036546,256.5774151136125,HAM
18,150.81065697746806,151.41361287971904,RIC
19,209.87829900013028,210.5594259086221,RIC
20,268.9215364502165,270.14505684813423,RIC
21,286.0470882043402,288.589430092921,RIC
22,167.11779121269842,159.61765108486296,HAM
23,186.784046198341,179.29207927382168,HAM
24,258.0049684273292,256.3037959799521,HAM
25,274.47083306666667,273.8,HAM
