Minisector,HUL,OCO,Fastest
0,284.2735578684249,281.412535157962,HUL
1,151.7582158530572,148.5684484655383,HUL
2,229.94090172294372,221.2688822283015,HUL
3,281.1717559896627,281.16909948853004,HUL
4,312.02078350708075,314.57202761205065,OCO
5,294.78652619957796,297.31305401065566,OCO
6,149.59275688257497,148.4383530347903,HUL
7,242.29645372843538,255.7133000852711,OCO
8,111.18979430943261,113.96770257176372,OCO
9,185.2293036568915,168.15674835195134,HUL
10,277.7200253470847,277.2788835059765,HUL
11,301.93412020148145,302.8115172342857,OCO
12,205.42292624033462,204.32119606208977,HUL
13,182.18223747604685,177.6113960783374,HUL
14,282.7705266677469,283.12695771012983,OCO
15,313.11109277614906,315.0645641037399,OCO
16,326.4885142653968,330.52739313131315,OCO
17,332.9764801850505,338.1744809001146,OCO
18,336.99851026219886,341.69707585497076,OCO
19,338.24375,342.48103819911114,OCO
20,182.3190383183865,184.3963023776002,OCO
21,185.2946462762022,186.0430729072704,OCO
22,283.3587653219992,284.51954215449734,OCO
23,312.48075441778633,316.7995166358406,OCO
24,322.1870816958797,329.5573613527843,OCO
