Minisector,PIA,RUS,Fastest
0,289.808713094133,296.8299523356914,RUS
1,296.1338816327485,305.3689275140773,RUS
2,290.07780263818023,289.29620567741927,PIA
3,116.84701955807817,110.89102537172063,PIA
4,223.70772026008657,237.41589708315837,RUS
5,274.320761001864,279.9194053412269,RUS
6,212.0763075044898,178.77369679737635,PIA
7,161.81510386512207,176.01595159693468,RUS
8,207.21876556364936,196.2323881802862,PIA
9,216.88550014589313,204.2810804707483,PIA
10,121.13784789768569,125.91309982949241,RUS
11,229.76969144495112,230.47371301814638,RUS
12,117.98875618291072,114.36521194651647,PIA
13,223.65769614160342,238.20994716246915,RUS
14,276.78290679674893,285.09445505420337,RUS
15,218.77189154428277,187.62992855873017,PIA
16,192.31032095000995,208.31071749300838,RUS
17,247.3642064378999,242.63767131022223,PIA
18,206.06931849687004,171.4670686567965,PIA
19,183.10139689452555,210.61339063962856,RUS
20,262.4616007873775,273.04781307,RUS
21,290.9003041288889,295.0800209029982,RUS
22,171.7573106120513,163.4621837160045,PIA
23,210.41902130514285,235.39827555324723,RUS
24,267.5040450107346,280.43045501968254,RUS
25,281.92857234285714,,PIA
