Minisector,PIA,LAW,Fastest
0,290.51780250482756,295.7699415047873,LAW
1,143.98883626539126,147.92646033386302,LAW
2,232.78372664182197,212.9421850380576,PIA
3,293.00932532486775,288.09548685920157,PIA
4,315.46585942,314.04998763575344,PIA
5,313.6420006878455,313.18541192242424,PIA
6,148.39278150803273,171.6079971930321,LAW
7,137.08131584,124.44677881910006,PIA
8,261.5982791043028,251.43163008090193,PIA
9,298.52587854023307,295.5507070524327,PIA
10,294.04525061293236,300.9446127946128,LAW
11,130.5213345323094,136.90834100258718,LAW
12,191.63458036705515,174.8341131672001,PIA
13,247.90416648366013,250.19017324740176,LAW
14,183.47955498198718,182.1252721784597,PIA
15,196.312386932198,200.00627629690342,LAW
16,191.8799753075109,191.74338005918878,PIA
17,236.7274502338209,227.63710352471654,PIA
18,281.0121915259259,276.7529320987654,PIA
19,294.97472659210626,293.8066666666667,PIA
20,246.61165589808613,242.0270978380375,PIA
21,202.0278432958242,198.02611904761903,PIA
22,191.2991444805482,177.7369293818046,PIA
23,267.9781651580419,261.8229282145432,PIA
24,303.01685743521557,298.4889706980392,PIA
25,,303.32500000000005,LAW
