Minisector,PIA,SAI,Fastest
0,293.14651088221575,292.4956301047811,PIA
1,304.0032352685939,303.9411944398961,PIA
2,307.84989511350136,307.9721052294737,SAI
3,187.21917168241347,187.15118556577735,PIA
4,210.29955680737325,207.42302140066212,PIA
5,206.29371939309598,204.9177520978749,PIA
6,263.4265671771518,264.98000695564843,SAI
7,257.8325580939122,249.97247977421517,PIA
8,214.39116911458973,213.05246564063492,PIA
9,211.90685509977828,205.93606041425676,PIA
10,142.091069071722,144.06641838769175,SAI
11,203.67793685933808,194.51362180622922,PIA
12,197.02253884834656,189.1456134513754,PIA
13,252.75282963555557,249.78888381809523,PIA
14,182.8349826847129,179.40443176288485,PIA
15,231.93043520693567,237.12198974748972,SAI
16,281.52753779389326,281.8135840608394,SAI
17,290.1623748407326,290.7266170298413,SAI
18,284.6308645488293,280.4454046378458,PIA
19,271.053720520381,266.9732513726984,PIA
20,271.93724757735635,267.4034070116017,PIA
21,265.95093818512834,265.41817452650287,PIA
22,235.42306064375984,220.01158970647342,PIA
23,206.72607466839617,219.21793486829407,SAI
24,269.36683421164577,270.43900522860605,SAI
