Minisector,NOR,SAI,Fastest
0,278.237145778319,275.8292324088259,NOR
1,297.02377498744124,295.26038157506497,NOR
2,234.4652011976014,236.5457716439213,SAI
3,109.63735250177525,117.82591111497477,SAI
4,124.2532853581793,122.6183276472774,NOR
5,250.01943440871963,242.3981098788978,NOR
6,241.0152542464469,258.87049959158634,SAI
7,121.59979570197522,122.43610131919613,SAI
8,244.9703897020586,238.2309111585065,NOR
9,251.09633181153146,244.320496672616,NOR
10,208.00731195588244,210.72815075798184,SAI
11,131.97536252901403,140.41195114974693,SAI
12,205.97917232722833,185.6752276152867,NOR
13,259.6738572621,256.7684349944092,NOR
14,111.62951542245705,119.4037658730077,SAI
15,186.5264134000205,166.81274595204565,NOR
16,257.0028712780424,250.73055188877774,NOR
17,288.53783356395604,282.4539692637922,NOR
18,302.8263951879061,298.01466355809526,NOR
19,308.14640359017545,305.3244291407535,NOR
20,309.31593756,309.2140523084968,NOR
21,157.86645354409288,213.24010090510095,SAI
22,143.4687728202919,126.34689176642527,NOR
23,191.03903491444314,200.56611472339952,SAI
24,233.88070164540966,214.75795261595565,NOR
25,,259.4195840533333,SAI
