Minisector,PER,VER,Fastest
0,245.45064112598638,249.38007697083134,VER
1,125.08936476283004,128.74844669879087,VER
2,196.2460212063492,195.51848224432499,PER
3,243.01532807697834,244.12331141406452,VER
4,258.67122783818047,257.582701357037,PER
5,175.3561388639599,174.02104261659866,PER
6,141.4893732848023,144.3967283948736,VER
7,187.41828692938273,177.6899999841626,PER
8,98.55535305630806,102.26832098306306,VER
9,75.07123701759396,75.68920304892174,VER
10,94.81124625656565,95.36582620843782,VER
11,185.6756509189418,181.03981026872438,PER
12,244.2155157350649,240.03141306711228,PER
13,265.2434815691274,256.99053308329,PER
14,270.0948564356343,262.85532582548484,PER
15,105.97164087024028,103.65009586431286,PER
16,151.10019801553034,165.9568484365088,VER
17,183.11160722577927,186.39963807953256,VER
18,200.17373136181013,193.6271889671367,PER
19,210.40441226459544,210.67805614371613,VER
20,135.6770896843521,131.9069497193651,PER
21,105.96115844961065,114.6412584705623,VER
22,100.78566862710903,93.68066060620589,PER
23,200.6548791720635,197.12592307957436,PER
24,248.27209111362694,246.41125024969696,PER
25,261.7454557090909,262.7090909090909,VER
