Minisector,HUL,GAS,Fastest
0,276.53304072982456,274.6808011758274,HUL
1,303.7305241866667,307.04121375492065,GAS
2,316.19989972644385,327.16107958204077,GAS
3,324.08904394666666,338.96705359960583,GAS
4,328.0,347.4583146123428,GAS
5,329.30705240584973,344.6366341127171,GAS
6,202.09852528937728,178.74080576723352,HUL
7,105.08960712196728,104.40473826921638,HUL
8,189.54853110384596,188.26309742951,HUL
9,263.8520566652281,267.77114944,GAS
10,293.8727456152073,300.3497951825044,GAS
11,154.88537632322289,120.70579251126985,HUL
12,100.30049100054067,97.39194037903815,HUL
13,115.40490517504531,122.38028598756952,GAS
14,225.1343694402126,216.0962241728831,HUL
15,193.24342273056118,193.6200045046223,GAS
16,230.42911610024032,220.57660994031747,HUL
17,181.5836932244719,181.37102089958643,HUL
18,244.76550957599997,245.84616406320987,GAS
19,280.61167683137256,283.2970535231248,GAS
20,248.06055437714286,215.980147499798,HUL
21,145.23117234635743,137.8683544051256,HUL
22,99.38723982482603,100.48531972146326,GAS
23,125.30137250692081,130.39306192919227,GAS
24,227.44985143949208,235.21319257277312,GAS
25,260.0,,HUL
