Minisector,PER,STR,Fastest
0,302.64079548657077,316.685191384669,STR
1,155.039626305775,158.28865354663964,STR
2,147.25844215361064,147.107238056283,PER
3,225.4460640590912,230.19177380498593,STR
4,287.6151578629095,285.83301698782367,PER
5,290.6814715398347,291.91288737391307,STR
6,141.15322342423335,143.64395498285958,STR
7,141.96428748914244,139.78232299523503,PER
8,144.4972546646634,139.65404335492062,PER
9,185.86141092519284,196.3127321958704,STR
10,126.47965323294484,124.24419245268969,PER
11,134.01803228170377,125.42231626762495,PER
12,159.1155727659925,178.93731170496625,STR
13,268.3196016,268.61634115747364,STR
14,291.5655328872727,291.57718320166737,STR
15,153.67033619285465,144.40496083294175,PER
16,198.3857854004535,200.95431217851132,STR
17,169.6176796624409,167.46612054120016,PER
18,271.22630585778086,272.90441544045717,STR
19,295.9567183610582,296.5658618424242,STR
20,311.12344105187304,311.5179590461836,STR
21,319.3966228710559,319.76776805236364,STR
22,323.47604169356725,325.6794497816906,STR
23,325.89923274816056,328.80902936929294,STR
24,326.56804686,327.9589597000756,STR
25,327.0,,PER
