Minisector,ANT,LEC,Fastest
0,245.96909773965606,253.53401689014925,LEC
1,132.2821484973772,127.56927779478372,ANT
2,278.12433831316946,274.57646084742015,ANT
3,314.8513424656448,314.749064753706,ANT
4,297.4276648575691,298.62910882047294,LEC
5,319.3621462208482,326.63980670694366,LEC
6,319.62025028739316,339.2240548362659,LEC
7,314.14857498239996,326.91353295238093,LEC
8,195.75096566583304,209.70548530503947,LEC
9,193.47326002987256,184.32110849955973,ANT
10,178.9269962295439,187.75958998635502,LEC
11,176.79657737853003,159.9654827055015,ANT
12,244.84899266281096,244.26558333527873,ANT
13,263.6548119402181,264.3833294431099,LEC
14,256.5713317748515,256.72198282298854,LEC
15,247.32755353381467,255.96199604912263,LEC
16,173.74861577895916,178.47693474498035,LEC
17,188.14180383740674,190.5991665099793,LEC
18,252.00969018448978,243.2809903984947,ANT
19,303.06251678191256,293.09237435842624,ANT
20,325.3612609328655,316.22616364582956,ANT
21,314.1652469814816,292.49506144088633,ANT
22,290.7797749824339,271.9544704629813,ANT
23,250.87342767496747,257.12440091935997,LEC
24,117.79052211171897,118.36974163663994,LEC
25,220.4,218.87707807090732,ANT
