Minisector,SAI,TSU,Fastest
0,296.4162728967282,298.5376438151378,TSU
1,225.25541896892562,211.51208659944376,SAI
2,231.49722370087113,229.62388776644883,SAI
3,276.64947153939397,275.14723690314344,SAI
4,251.6913992961401,234.87677264218607,SAI
5,128.65326448060287,127.77557610813403,SAI
6,214.4716939868783,214.21533125592103,SAI
7,265.4507171157098,261.8105256707438,SAI
8,250.98028906079847,240.63211947130435,SAI
9,244.09050787214068,243.35867093491103,SAI
10,279.56462858327694,277.971744660658,SAI
11,294.62217380136053,295.2566402208139,TSU
12,301.617169824355,304.55426113246756,TSU
13,305.6434125172487,307.7083333333333,TSU
14,304.6947316519529,308.2949311916883,TSU
15,257.9816441139231,252.22789264415061,SAI
16,247.08574627885386,245.22252743111113,SAI
17,280.78596909189645,282.51728120126984,TSU
18,292.6829165155556,293.7090705245084,TSU
19,165.3111291536853,164.45701463282907,SAI
20,212.776448708673,210.81649935463847,SAI
21,182.96245796669012,171.11240293962044,SAI
22,142.99189226324395,150.87046521932982,TSU
23,243.27237547329193,247.45898494233768,TSU
24,283.9871151912156,285.57885873142857,TSU
