Minisector,LEC,OCO,Fastest
0,300.13141353202616,286.27942367830684,LEC
1,163.48285408310608,167.37428874618888,OCO
2,169.14472040893637,172.9460212909319,OCO
3,247.59002782577778,256.6998269929845,OCO
4,282.40439841693126,282.05441426813246,LEC
5,244.09130963279907,248.39834896563147,OCO
6,216.47539570152958,226.42246060426305,OCO
7,151.74376179732585,153.73037064104716,OCO
8,226.69336437456388,227.87242872533716,OCO
9,278.1489584811428,277.7653551111011,LEC
10,297.1736534358095,297.24183121964916,OCO
11,305.25339564485944,304.522893667377,LEC
12,307.5219907555556,308.5627975619048,OCO
13,304.1130772821659,302.9522932213959,LEC
14,130.09121364810292,133.05288206306878,OCO
15,124.15077838096813,120.79724731951518,LEC
16,106.34984587839104,102.64171496567552,LEC
17,233.40784053982642,235.6740494062573,OCO
18,284.9349701364767,285.16321606566896,OCO
19,306.3582170489793,305.04333379963424,LEC
20,315.91512412114287,315.11244048035917,LEC
21,320.4341891832568,317.37571358844673,LEC
22,127.28716082618412,131.20081582302342,OCO
23,204.29028796681732,200.61927559420292,LEC
24,270.3739027857143,267.6065296277295,LEC
25,,280.3985766032346,OCO
