Minisector,SAI,RUS,Fastest
0,291.94788433886623,292.0526970271445,RUS
1,301.2525104695652,301.25984269155555,RUS
2,293.4091954506465,278.7462572670162,SAI
3,111.04308721419794,106.21044486277746,SAI
4,226.39094037394264,229.70661906284178,RUS
5,272.05179369179757,272.3758314316742,RUS
6,213.18546714939004,216.62014029250182,RUS
7,171.1625260474501,170.96360614377429,SAI
8,209.95543906285928,209.25769406062318,SAI
9,222.26242202103975,213.11521853627966,SAI
10,112.98927761979078,116.36511851504758,RUS
11,231.7263834820533,229.86761288880578,SAI
12,116.94371135329946,117.48481607386645,RUS
13,225.55634596943312,228.8247320295843,RUS
14,275.6808334533333,274.7120143834921,SAI
15,233.0369187263944,218.42682268552375,SAI
16,197.31499628193848,197.2851122642403,SAI
17,246.96766041559363,251.51767383619045,RUS
18,208.72884660552114,193.627917239442,SAI
19,185.54117641639763,191.54971186484727,RUS
20,264.3299404761905,266.49339753887983,RUS
21,289.74507854057845,290.80860539298476,RUS
22,177.9158882704597,161.5820133827882,SAI
23,211.20016561558324,223.15773255043968,RUS
24,273.2211687511688,274.2352846031554,RUS
