Minisector,HAM,SAI,Fastest
0,306.24619420270193,287.6426458352941,HAM
1,140.382861059944,127.89660534218217,HAM
2,136.2018933010101,147.19467168288992,SAI
3,228.39116234817243,223.99206273015872,HAM
4,158.13160889064036,157.11384160467574,HAM
5,241.34079296628897,243.9224542222222,SAI
6,234.22639827208656,211.10760575072464,HAM
7,135.67555385833333,131.50122410039216,HAM
8,234.46041599999998,232.72290577224538,HAM
9,277.57083306666664,278.59173714285714,SAI
10,295.28271932235833,286.63999188571427,HAM
11,154.59284363870967,144.19147512539539,HAM
12,213.55105814862816,219.4272465177489,SAI
13,268.8919266666667,272.27919449996836,SAI
14,280.9000139958032,288.04305564444445,SAI
15,101.83525803615242,115.66882547384128,SAI
16,214.15521797970771,194.30146203982684,HAM
17,274.5164562464986,264.9793988740741,HAM
18,302.8672498391813,292.0265628,HAM
19,319.6817310358974,305.6971429892064,HAM
20,329.0283332977778,313.0845239238095,HAM
21,304.0502092234967,306.51901888608717,SAI
22,152.46732323940887,156.78749955555557,SAI
23,232.74755019125558,218.06278318278234,HAM
24,285.36190497703086,272.7078779666667,HAM
25,,288.63333404444444,SAI
