Minisector,VER,RUS,Fastest
0,300.60567100770976,296.17906279028693,VER
1,247.37159486081012,252.58047518247156,RUS
2,180.33501486671074,195.02475019163364,RUS
3,261.2980016407499,263.83026713513226,RUS
4,217.2188811308706,228.2527479554281,RUS
5,111.6404539033745,108.94196644442847,VER
6,173.54282509804713,159.72105829182055,VER
7,253.00631143733997,254.82545799102715,RUS
8,289.90548152087274,287.57470341554136,VER
9,308.1901664258093,302.846902721231,VER
10,315.73519923440864,309.47259928794443,VER
11,212.70935042970174,217.5144495880807,RUS
12,142.02709316173977,139.02270682323186,VER
13,253.3956714976549,251.48741874988005,VER
14,290.03898284424093,288.11225345015873,VER
15,301.2126545619753,300.6711268537566,VER
16,293.41154135965365,299.5430688815264,RUS
17,251.48173892948765,259.4610977031332,RUS
18,179.33043669719473,179.17277900728928,VER
19,179.11102153433967,181.39838389203553,RUS
20,180.9918321187864,174.67433522145294,VER
21,239.85592459306667,247.10812192784422,RUS
22,117.47965671226184,119.74327916313996,RUS
23,192.82362910745516,192.3056288722442,VER
24,274.59154452844945,273.4233972588959,VER
25,290.775510156694,287.72500096,VER
