Minisector,GAS,NOR,Fastest
0,276.08405090309645,279.5681953316017,NOR
1,154.34636375853756,154.15493791535638,GAS
2,140.48540533699816,148.6314690246691,NOR
3,223.65626130942468,222.7840303466428,GAS
4,281.29335347936507,278.93313288195003,GAS
5,283.97458951064937,275.89417226179893,GAS
6,142.44176233651694,138.9396024858884,GAS
7,135.85639024639218,135.3457065266651,GAS
8,134.43908673029392,140.49617658320207,NOR
9,184.4110791805221,178.5331482857084,GAS
10,123.11782017474972,123.94242444643933,NOR
11,118.10932626974446,121.25535233565579,NOR
12,162.89196332033535,155.33256691389053,GAS
13,264.0971630931803,261.38921223397404,GAS
14,286.16655565155554,283.16528965158034,GAS
15,145.53199528083576,142.9438973714802,GAS
16,199.25861815534392,204.8559136364631,NOR
17,166.91387155397683,166.34134440958306,GAS
18,266.71589493671183,265.4791038825056,GAS
19,289.73598543183124,287.8460179144749,GAS
20,303.2552875838816,301.37641316836437,GAS
21,310.7366541172932,310.75905328545076,NOR
22,313.443287275353,313.50602272969695,NOR
23,316.21647728484845,313.9706228194112,GAS
24,313.90673094862245,310.7351894624702,GAS
25,309.26428525714283,,GAS
