Minisector,PIA,ALO,Fastest
0,271.5336618492517,272.75116154434784,ALO
1,253.51826428034445,238.3336470420052,PIA
2,119.6863508618449,125.31371942984447,ALO
3,176.00390682786636,164.64366558792977,PIA
4,196.64398964008734,196.32963463710576,PIA
5,198.52028140901587,195.51758939809523,PIA
6,262.5175089636431,263.4139812207792,ALO
7,283.17473348667795,283.9734815007856,ALO
8,235.07401060124445,213.78417275164443,PIA
9,147.16267539087718,147.34923284011253,ALO
10,119.7270340100118,120.47616736313903,ALO
11,170.72151902930477,165.74471459068482,PIA
12,247.67450944738815,244.46010623653677,PIA
13,162.90438026096365,146.89172330880058,PIA
14,150.57869648267334,150.00180737870332,PIA
15,106.36627068551849,98.21159587154875,PIA
16,216.04438293237746,229.82282207122375,ALO
17,228.88138553637427,234.39042806962962,ALO
18,130.89089438081535,130.7189510686118,PIA
19,239.37635684419047,241.15282215574646,ALO
20,274.3387550448828,274.49957217068476,ALO
21,203.21173951259843,190.66022552074608,PIA
22,156.06716538152145,151.31883836769651,PIA
23,220.3901567748857,219.62739545279211,PIA
24,235.66569016259217,235.36013243646258,PIA
