Minisector,STR,HAM,Fastest
0,318.3669022898245,323.8878786181818,HAM
1,328.32298952469404,331.33901586475565,HAM
2,324.63456438787875,327.95221870822513,HAM
3,199.12405117555446,192.5611337972272,STR
4,121.29095685790361,127.21718003053071,HAM
5,267.1142180871739,266.365023374359,STR
6,300.99427062222225,301.86765845079367,HAM
7,315.77471538881986,316.330615884058,HAM
8,291.37593367767164,273.46653585608465,STR
9,146.19877973861597,152.79875735652175,HAM
10,225.63938513744102,228.62830765333334,HAM
11,219.7262724798248,224.75278975238095,HAM
12,200.9000393270321,203.69175905531594,HAM
13,269.2721171785724,270.69643522801704,HAM
14,304.87269694409935,307.558001886673,HAM
15,316.56845664894996,320.94488635151515,HAM
16,267.593362962963,270.6489690052579,HAM
17,205.5177727678754,214.41894786955268,HAM
18,272.60936490421125,275.22625005599957,HAM
19,305.39148507826087,309.1697914222222,HAM
20,319.67686137596644,322.14774944322835,HAM
21,310.90572952315864,303.1882701206349,STR
22,210.42164123196903,215.39860047050607,HAM
23,262.9471723809524,268.25145449876544,HAM
24,301.5249841498183,306.6117557142857,HAM
