Minisector,PER,RUS,Fastest
0,293.11420752217686,293.6081127447542,RUS
1,167.55845240482165,174.2339425419786,RUS
2,173.6993114692289,164.78625848679883,PER
3,256.1737949042424,248.7274266548588,PER
4,283.858379543319,288.4402577371428,RUS
5,253.8048004344653,254.71899568141416,RUS
6,227.14548026358278,219.60284359001,PER
7,150.48848436706658,150.9190857004058,RUS
8,229.18417995844774,218.82129450365557,PER
9,282.91363601454543,279.1500864533333,PER
10,301.6894500529005,301.006916608,PER
11,311.35728456605045,310.6541896510242,PER
12,316.0029959299048,315.71755942095234,PER
13,313.58037237131083,316.46221636375554,RUS
14,130.61270708692672,117.74035942412536,PER
15,119.41209502086492,115.87947206846778,PER
16,99.6603508282187,105.92434304411417,RUS
17,236.48231616725886,238.34362322554458,RUS
18,287.52976176483185,287.5199727348458,PER
19,308.6746691238095,310.3533856934553,RUS
20,319.5836435846465,320.1154526239599,RUS
21,321.72036423553425,324.0057578643462,RUS
22,120.40401668471884,120.16061356270153,PER
23,203.8623776899408,210.88299680721934,RUS
24,270.73345638726744,268.55892466632037,PER
25,285.7,,PER
