Minisector,OCO,ALO,Fastest
0,278.34002788142146,290.80753402107933,ALO
1,289.17610892751884,305.6804562229277,ALO
2,294.69793201777776,312.47702570110914,ALO
3,293.35934274091505,293.92639323089946,ALO
4,159.9448364334226,158.50084373981636,OCO
5,200.5717172591078,198.14177440293582,OCO
6,220.015049624315,219.17384965874209,OCO
7,259.55976449046057,257.6432517507636,OCO
8,240.96001689606055,229.69700351492065,OCO
9,151.38269950981464,147.56579262113826,OCO
10,221.06689659887365,207.31911746984125,OCO
11,129.3890410224903,125.73500634011984,OCO
12,227.74535131826087,227.39213335651246,OCO
13,166.30582364641162,163.98530545089605,OCO
14,210.8448468379443,211.18076534731648,ALO
15,223.3910346433864,215.98146842849272,OCO
16,248.80001738558795,251.39461524812003,ALO
17,277.7665700610128,265.72409817468804,OCO
18,143.2573576312273,135.63860027427037,OCO
19,158.84359373027502,157.72849381897498,OCO
20,137.742022621318,137.8658347748518,ALO
21,150.00186417219766,142.84551516629148,OCO
22,108.14127741516228,107.8579855869753,OCO
23,213.3319819590008,217.9153194817094,ALO
24,259.50060960092264,259.3144325592902,OCO
