Minisector,RUS,TSU,Fastest
0,272.014822944903,265.66124965333336,RUS
1,289.03812139384416,286.0154135627052,RUS
2,293.30763691,285.9161688927864,RUS
3,122.39319860934786,118.03534515226362,RUS
4,196.60840051870755,187.63153110491427,RUS
5,254.99527361539714,250.06989614880052,RUS
6,142.02651767046584,135.58374098370913,RUS
7,203.4021225722964,198.5923777183653,RUS
8,257.5935510103258,254.37206206740723,RUS
9,279.3702032597572,277.1736937402801,RUS
10,237.90740729795917,227.31675700900206,RUS
11,174.52274708816327,171.44091249186343,RUS
12,199.02251216412986,187.518653141946,RUS
13,143.64002179056016,136.4378301339827,RUS
14,180.1342947949882,167.28086464256234,RUS
15,167.01539560489798,158.37578952891525,RUS
16,222.3036780376227,215.7295475768617,RUS
17,238.62742818684805,227.13428887266957,RUS
18,244.38520360182778,234.776939696903,RUS
19,234.02638770539684,225.51636766654298,RUS
20,151.38185928669992,144.37880729428596,RUS
21,127.29663651006436,128.3488271355902,TSU
22,171.78599759868638,167.2239510318555,RUS
23,156.63600058085217,143.77426486700872,RUS
24,231.82329760415584,226.68174798184455,RUS
