Minisector,NOR,OCO,Fastest
0,321.76982399337476,320.77381928663544,NOR
1,329.0450757575758,329.14311573333333,OCO
2,322.90634059130434,324.9343614060606,OCO
3,187.1632206075188,209.4695682546062,OCO
4,120.30816175625503,113.64418739377729,NOR
5,265.18589810512447,260.9677803604112,NOR
6,300.7266865079365,299.0868602176664,NOR
7,309.9640624888889,311.2818189213685,OCO
8,275.35833333333335,289.47788467692305,OCO
9,144.40341385994196,143.9302232087871,NOR
10,219.9011581766121,223.34071129463504,OCO
11,216.92765151515152,217.13084809952858,OCO
12,200.29494914097754,201.84424783405635,OCO
13,270.1226631393298,265.4896145093676,NOR
14,305.53200756746975,303.57013923174605,NOR
15,314.3101449275362,315.80985405501,OCO
16,264.314258344979,275.27799765567767,OCO
17,208.92023809523812,200.5766212506198,NOR
18,274.33126237143557,266.36545097427035,NOR
19,306.99528985507243,303.5478179262003,NOR
20,320.06439393939394,316.6358695884058,NOR
21,305.663307756548,310.99763010301075,OCO
22,210.84791670588237,211.43799780866655,OCO
23,265.47324109050794,260.70995314006836,NOR
24,303.69233326933335,300.1540240791697,NOR
25,,315.2888888888889,OCO
