Minisector,VET,BOT,Fastest
0,288.37254901960785,287.553081707563,VET
1,128.12684871400293,136.2684770995889,BOT
2,165.5477954144621,155.52211814632577,VET
3,220.77380816114055,223.8990559080015,BOT
4,163.70617283950617,167.38339763451478,BOT
5,244.64902077848964,245.47896719555692,BOT
6,212.45486542443064,225.00416789333335,BOT
7,140.79484580939737,138.1612749490196,VET
8,237.0340476190476,235.12416602666667,VET
9,277.1181037969187,277.2435112346717,BOT
10,284.52964851586836,286.45807386666667,BOT
11,149.67367038573144,151.9737194961511,BOT
12,222.4889891098671,220.56541685333332,VET
13,271.27058823529416,270.65980878127954,VET
14,269.2444472888889,272.75882202352943,BOT
15,104.56925510879745,105.50541804657988,BOT
16,226.96031613968253,218.5573684182224,VET
17,276.33723986666666,271.27968516285944,VET
18,297.7825519333333,293.1841148,VET
19,308.53538909847583,304.5282937498413,VET
20,312.45818792973546,311.0589785565902,VET
21,291.8118486473895,293.86733853460316,BOT
22,156.89118974668855,158.6036485917145,BOT
23,238.6202955828024,234.2448827431797,VET
24,280.54004557037035,277.15347263492066,VET
