Minisector,LEC,MSC,Fastest
0,288.80079210574314,295.54921399602216,MSC
1,295.7511004025895,307.10966698666664,MSC
2,164.69012849662337,164.89709396651637,MSC
3,220.61453721125346,216.65418164299143,LEC
4,272.66165118239894,268.08038075933194,LEC
5,294.15437064400487,286.9977777840506,LEC
6,300.16873026750585,293.9221727238095,LEC
7,176.12526755714026,188.3169104279123,MSC
8,125.73377217442246,120.161212252821,LEC
9,248.30130327953214,244.9748872292641,LEC
10,284.5406984,280.8854199547339,LEC
11,296.64225015945567,288.51420624762176,LEC
12,150.49974845454207,147.01528146787598,LEC
13,197.40744974585215,183.69045698132584,LEC
14,256.8330511280423,251.25132518977773,LEC
15,202.8442568772136,196.97276057840176,LEC
16,225.38710218182916,210.25386988032335,LEC
17,220.3537469109226,208.77220983848926,LEC
18,248.27340566336616,234.57592665881893,LEC
19,280.3093045688889,270.6806020261661,LEC
20,296.82042132374704,287.54067932888887,LEC
21,270.12086906236766,257.53200632800787,LEC
22,231.97823689650795,220.088619656922,LEC
23,208.28080918511506,195.72707064853392,LEC
24,265.23850468350787,258.25239627669174,LEC
25,,277.75,MSC
