Minisector,SAI,PIA,Fastest
0,291.94788433886623,305.39035352533335,PIA
1,301.2525104695652,321.37153781924434,PIA
2,293.4091954506465,283.6400170183896,SAI
3,111.04308721419794,109.83888581552134,SAI
4,226.39094037394264,219.34811034288703,SAI
5,272.05179369179757,270.1535462293996,SAI
6,213.18546714939004,198.94921195205387,SAI
7,171.1625260474501,165.74942632031332,SAI
8,209.95543906285928,210.60646483470632,PIA
9,222.26242202103975,218.41398765996473,SAI
10,112.98927761979078,110.49363272777607,SAI
11,231.7263834820533,233.1611856580781,PIA
12,116.94371135329946,117.23239416778839,PIA
13,225.55634596943312,229.91970462766582,PIA
14,275.6808334533333,274.1431714694023,SAI
15,233.0369187263944,199.52078938231293,SAI
16,197.31499628193848,204.44326698309976,PIA
17,246.96766041559363,256.6467762389611,PIA
18,208.72884660552114,202.23984762711714,SAI
19,185.54117641639763,184.80035371437694,SAI
20,264.3299404761905,268.7356440417893,PIA
21,289.74507854057845,294.77866419019404,PIA
22,177.9158882704597,159.67184691609023,SAI
23,211.20016561558324,221.9939619614699,PIA
24,273.2211687511688,278.6841837361039,PIA
