Minisector,GRO,ERI,Fastest
0,288.6389498408931,284.5951243144697,GRO
1,242.5623397340412,250.17950319865471,ERI
2,270.1707332558378,269.8615266076234,GRO
3,291.29398325692694,285.71144227724864,GRO
4,126.28526380385998,128.81836353916816,ERI
5,211.17885536939448,209.51118704369236,GRO
6,273.6902814741148,267.50089610821914,GRO
7,300.49999411923534,296.82395806666665,GRO
8,314.02135956576814,312.1069377895003,GRO
9,322.30952256969874,319.5540960999183,GRO
10,306.0358821158934,291.4430235340368,GRO
11,104.31795804926095,100.27894819958944,GRO
12,220.02995613880012,219.03107739706473,GRO
13,272.5413937838754,275.4970768211096,ERI
14,272.8046362566167,269.81249715567805,GRO
15,133.4159787772541,128.1790823195542,GRO
16,208.29359344205935,202.00236842178816,GRO
17,258.7470120228923,257.3001067111874,GRO
18,254.6576335591139,246.5509001328143,GRO
19,244.55442349251757,239.35689983330226,GRO
20,150.66273758752743,143.54359856114434,GRO
21,191.53936402484308,188.0227391786874,GRO
22,173.69656791798437,168.87448759463902,GRO
23,187.28142648441934,184.14000722353472,GRO
24,250.0438558257522,250.23419371318317,ERI
25,276.08368305708905,,GRO
