Minisector,NOR,GAS,Fastest
0,322.22814069943473,321.4198529611861,NOR
1,319.4497992072804,327.01813632717085,GAS
2,169.95047516814947,158.4464682457399,NOR
3,163.74573246476191,159.79555191940028,NOR
4,200.48259446194243,194.08835205605442,NOR
5,150.32876751324682,142.54584899854342,NOR
6,207.16824905627982,190.8810168868547,NOR
7,272.6069833743916,271.39958663655506,NOR
8,293.0217024795592,293.6546875761905,GAS
9,288.96514733803923,286.95226164537394,NOR
10,240.00432407685884,231.97673667200002,NOR
11,241.10552996692786,238.8424694240063,NOR
12,220.42458668654245,214.4123605013522,NOR
13,174.7665390971492,177.25940329977325,GAS
14,142.02820744701768,129.2900968101365,NOR
15,133.70627446133105,124.8314761000644,NOR
16,207.14592621714286,197.66447790885476,NOR
17,272.17052913015874,269.73420185599997,NOR
18,200.98616366506667,197.40377865846156,NOR
19,114.38360308569008,112.28794177304744,NOR
20,212.3542848914286,199.23010896737716,NOR
21,189.05060596236558,177.29259295291965,NOR
22,252.6782899321905,249.09045187555557,NOR
23,276.3172021285714,279.1789543596435,GAS
24,303.0339587131345,307.31813677285714,GAS
25,313.0,,NOR
