Minisector,OCO,KVY,Fastest
0,320.77381928663544,328.3282150059422,KVY
1,329.14311573333333,344.2277775746032,KVY
2,324.9343614060606,344.8061508571428,KVY
3,209.4695682546062,186.9229768077178,OCO
4,115.50079999280238,124.1094062037441,KVY
5,262.1608770947474,266.60227754072105,KVY
6,299.88041141091975,300.8125734121306,KVY
7,311.6298261561511,308.2894096888889,OCO
8,284.49633339733333,262.2326564734694,OCO
9,143.9902232087871,147.0246759861687,KVY
10,221.1139725846966,216.2390161131313,OCO
11,220.35186416930551,215.57984739844972,OCO
12,201.39563672294526,198.90347238518518,OCO
13,267.5479478511665,271.6439963547328,KVY
14,304.15036266666664,304.45756307246376,KVY
15,315.80985405501,311.5657071708372,OCO
16,268.50129542312925,256.53222014285717,OCO
17,204.18352602776267,205.17926954986143,KVY
18,270.04492633229506,274.68797994432236,KVY
19,304.8587737200931,307.84972176888886,KVY
20,316.75572919999996,316.8965580057971,KVY
21,306.9246242363441,288.05877299631027,OCO
22,209.40204455914275,207.12576994061624,OCO
23,264.52291606352514,267.2240046539342,KVY
24,303.1615297613362,302.9374498031746,OCO
